bianca_oth,Bianca,,,,,,,
brabantio,father_Brabantio,lord_Brabantio,signior_Brabantio,Brabantio,,,,
cassio,knave_Cassio,lieutenant_Cassio,Cassio,,,,,
clown_oth,Clown,,,,,,,
desdemona,daughter_Desdemona,ewe_Desdemona,girl_Desdemona,lady_Desdemona,wife_Desdemona,Desdemona,,
dukevenice,Duke of Venice,lord_Duke,,,,,,
emilia,wife_emilia,Emilia,,,,,,
1gentleman_oth,First Gentleman,,,,,,,
1musician_oth,,,,,,,,
1senator_oth,,,,,,,,
1officer_oth,,,,,,,,
4gentleman_oth,,,,,,,,
gentleman_oth,,,,,,,,
gratiano,Gratiano,,,,,,,
herald_oth,Herald,,,,,,,
iago,lord_Iago,husband_Iago,Iago,,,,,
lodovico,signior_Lodovico,Lodovico,,,,,,
messenger_oth,messenger,Messenger,,,,,,
montano,Montano,,,,,,,
othello,Moor_Othello,thicklips_Othello,ram_Othello,knave_Othello,husband_Othello,lord_Othello,general_Othello,Othello
roderigo,Roderigo,,,,,,,
sailor_oth,Sailor,,,,,,,
2gentleman_oth,Second Gentleman,,,,,,,
2senator_oth,,,,,,,,
3gentleman_oth,Third Gentleman,,,,,,,
all_oth,,,,